,城市,日期,AQI
53911,兰州,2014-11-15,81
53912,兰州,2014-11-16,108
53913,兰州,2014-11-17,119
53914,兰州,2014-11-18,122
53915,兰州,2014-11-19,117
53916,兰州,2014-11-20,111
53917,兰州,2014-11-21,106
53918,兰州,2014-11-22,97
53919,兰州,2014-11-23,78
53920,兰州,2014-11-24,97
53921,兰州,2014-11-25,168
53922,兰州,2014-11-26,94
53923,兰州,2014-11-27,43
53924,兰州,2014-11-28,101
53925,兰州,2014-11-29,83
53926,兰州,2014-11-30,56
53927,兰州,2014-12-1,113
53928,兰州,2014-12-2,111
53929,兰州,2014-12-3,70
53930,兰州,2014-12-4,105
53931,兰州,2014-12-5,158
53932,兰州,2014-12-6,92
53933,兰州,2014-12-7,113
53934,兰州,2014-12-8,123
53935,兰州,2014-12-9,67
53936,兰州,2014-12-10,106
53937,兰州,2014-12-11,95
53938,兰州,2014-12-12,95
53939,兰州,2014-12-13,125
53940,兰州,2014-12-14,138
53941,兰州,2014-12-15,104
53942,兰州,2014-12-16,97
53943,兰州,2014-12-17,149
53944,兰州,2014-12-18,185
53945,兰州,2014-12-19,112
53946,兰州,2014-12-20,77
53947,兰州,2014-12-21,66
53948,兰州,2014-12-22,138
53949,兰州,2014-12-23,148
53950,兰州,2014-12-24,106
53951,兰州,2014-12-25,118
53952,兰州,2014-12-26,153
53953,兰州,2014-12-27,175
53954,兰州,2014-12-28,203
53955,兰州,2014-12-29,149
53956,兰州,2014-12-30,111
53957,兰州,2014-12-31,69
53958,兰州,2015-1-1,134
53959,兰州,2015-1-2,154
53960,兰州,2015-1-3,187
53961,兰州,2015-1-4,92
53962,兰州,2015-1-5,48
53963,兰州,2015-1-6,59
53964,兰州,2015-1-7,67
53965,兰州,2015-1-8,91
53966,兰州,2015-1-9,117
53967,兰州,2015-1-10,109
53968,兰州,2015-1-11,118
53969,兰州,2015-1-12,127
53970,兰州,2015-1-13,94
53971,兰州,2015-1-14,96
53972,兰州,2015-1-15,64
53973,兰州,2015-1-16,99
53974,兰州,2015-1-17,88
53975,兰州,2015-1-18,80
53976,兰州,2015-1-19,91
53977,兰州,2015-1-20,91
53978,兰州,2015-1-21,90
53979,兰州,2015-1-22,110
53980,兰州,2015-1-23,118
53981,兰州,2015-1-24,87
53982,兰州,2015-1-25,101
53983,兰州,2015-1-26,78
53984,兰州,2015-1-27,62
53985,兰州,2015-1-28,70
53986,兰州,2015-1-29,78
53987,兰州,2015-1-30,67
53988,兰州,2015-1-31,83
53989,兰州,2015-2-1,90
53990,兰州,2015-2-2,81
53991,兰州,2015-2-3,91
53992,兰州,2015-2-4,60
53993,兰州,2015-2-5,80
53994,兰州,2015-2-6,90
