城市,日期,质量等级,AQI,AQI排名,PM2.5,PM10,So2,No2,Co,O3
兰州,2014-3-19,轻度污染,146,169,65,241,29,33,1,62
兰州,2014-3-20,良,80,100,28,110,23,32,1,40
兰州,2014-3-21,良,88,140,37,125,22,46,1,39
兰州,2014-3-22,良,65,33,30,80,14,30,1,29
兰州,2014-3-23,良,69,37,38,86,21,43,1,28
兰州,2014-3-25,轻度污染,127,128,77,201,43,64,2,18
兰州,2014-3-26,轻度污染,134,125,69,216,36,59,2,25
兰州,2014-3-27,轻度污染,122,110,63,193,17,30,1,30
兰州,2014-3-28,良,100,116,52,149,23,40,1,28
兰州,2014-3-29,轻度污染,110,125,67,169,36,65,1,24
兰州,2014-3-30,良,72,50,45,89,19,31,1,28
兰州,2014-3-31,良,86,102,58,116,24,51,2,25
兰州,2014-4-1,良,91,107,51,128,36,50,2,37
兰州,2014-4-2,良,62,41,31,74,30,29,1,63
兰州,2014-4-3,良,68,69,34,86,30,36,1,44
兰州,2014-4-4,良,88,111,54,125,38,59,1,41
兰州,2014-4-5,良,82,94,45,112,31,53,1,37
兰州,2014-4-6,良,74,86,41,96,23,52,1,36
兰州,2014-4-7,轻度污染,110,153,65,167,38,73,2,44
兰州,2014-4-8,轻度污染,121,115,65,186,35,68,1,49
兰州,2014-4-9,良,69,34,48,77,21,33,1,48
兰州,2014-4-10,轻度污染,109,120,58,167,31,61,1,35
兰州,2014-4-11,良,80,82,52,106,18,37,1,44
兰州,2014-4-12,良,77,100,46,103,23,50,1,32
兰州,2014-4-13,良,81,105,43,110,28,56,1,37
兰州,2014-4-14,良,66,43,30,81,24,39,1,42
兰州,2014-4-15,良,60,32,35,67,27,56,2,31
兰州,2014-4-16,优,44,7,24,45,20,26,1,45
兰州,2014-4-17,良,64,56,38,77,25,28,1,36
兰州,2014-4-18,优,44,11,28,42,17,29,1,33
兰州,2014-4-19,优,45,27,28,44,17,34,1,38
兰州,2014-4-20,良,57,51,40,57,19,39,1,27
兰州,2014-4-21,优,43,16,22,45,14,41,1,34
兰州,2014-4-22,良,82,116,47,112,26,67,2,43
兰州,2014-4-23,良,96,116,57,141,28,64,2,33
兰州,2014-4-24,严重污染,347,187,254,977,19,37,1,32
兰州,2014-4-25,严重污染,265,186,115,388,18,41,1,36
兰州,2014-4-26,严重污染,254,186,91,382,35,56,2,26
兰州,2014-4-27,中度污染,189,187,80,311,37,51,2,37
兰州,2014-4-28,轻度污染,132,178,62,212,31,55,1,45
兰州,2014-4-29,中度污染,152,189,80,251,43,80,2,43
兰州,2014-4-30,重度污染,244,188,133,457,47,72,2,40
兰州,2014-5-1,轻度污染,101,83,45,134,12,22,1,60
兰州,2014-5-2,轻度污染,101,129,44,151,20,51,1,43
兰州,2014-5-3,轻度污染,120,180,56,188,24,61,1,36
兰州,2014-5-4,良,93,174,35,134,23,53,1,42
兰州,2014-5-5,良,83,151,37,115,36,67,2,45
兰州,2014-5-6,轻度污染,108,167,56,165,42,78,2,39
兰州,2014-5-7,轻度污染,107,166,58,163,45,73,2,49
兰州,2014-5-8,轻度污染,105,124,54,158,35,70,1,59
兰州,2014-5-9,严重污染,337,189,271,746,11,21,1,59
兰州,2014-5-10,良,69,139,41,91,10,25,1,55
兰州,2014-5-11,良,74,172,47,82,29,60,2,61
兰州,2014-5-12,良,84,132,49,110,44,62,2,58
兰州,2014-5-13,良,92,124,49,132,23,37,1,76
兰州,2014-5-14,良,73,80,33,90,16,24,1,77
兰州,2014-5-15,良,68,72,33,83,34,57,1,53
兰州,2014-5-16,良,85,82,38,117,41,67,1,57
